borrower_id,company_name,industry,years_in_business,revenue,revenue_growth,ebitda_margin,ebitda,total_debt,total_equity,debt_equity_ratio,cash_flow,annual_debt_service,dscr,collateral_value,collateral_coverage,bureau_score,existing_exposure,num_past_defaults,loan_amount_requested,cash_flow_stability,industry_risk,defaulted,optimal_limit,promoter_gender,region
BRW-00000,Company_0,Agriculture,18,8334649.0,0.3713284419040656,0.08311620377880068,692744.3847087773,46523114.0,1739069.0,26.751720172275988,2438132.0,845143.0,2.8848716905048133,17285519.0,14.10082049056493,689,88302.0,3,1225851.0,0.6400250376220118,0.6,0,3376175.0,Female,North
BRW-00001,Company_1,Real Estate,6,402924646.0,-0.21051929330983582,0.2629184650632409,105936329.46246971,11580801.0,109066917.0,0.10618069358116455,10719518.0,15130897.0,0.708452201581162,4236012.0,0.6859184228973041,674,218023.0,1,6175678.0,0.7315936925955785,0.55,0,1406443.0,Male,Central
BRW-00002,Company_2,Pharmaceuticals,18,1438822.0,0.018848358263826998,-0.006983811570024062,-10048.461730805162,12279874.0,10435082.0,1.1767873815665866,13829035.0,3779321.0,3.659131188080825,166757559.0,95.43848145515481,585,2251936.0,0,1747277.0,0.9377030289002246,0.2,0,39827621.0,Female,West
BRW-00003,Company_3,Financial Services,19,50614973.0,-0.19502643159877686,0.3502714805014482,17728981.528250825,11871747.0,10556724.0,1.1245672308410042,5586762.0,2808660.0,1.9891193704046164,5425919.0,0.40293735767766786,652,32987611.0,0,13465911.0,0.7815532426686547,0.3,0,1880649.0,Non-Binary,Central
BRW-00004,Company_4,Retail,22,167602443.0,0.004495386012423802,0.22188493740764556,37188457.574423485,122971017.0,35713251.0,3.443288138531882,3283142.0,1249477.0,2.6276108903077926,6887557.0,4.133498131764328,694,5226263.0,0,1666277.0,0.6403187623347837,0.5,0,5176092.0,Male,South
BRW-00005,Company_5,Agriculture,37,150208.0,-0.04969032116769902,0.21287746425514645,31975.898150837038,4549704.0,6133841.0,0.7417380493335173,5643546.0,955145.0,5.908568951762349,28381047.0,8.581451082544286,686,2803209.0,0,3307254.0,0.700068639109509,0.6,0,8126706.0,Female,East
BRW-00006,Company_6,Construction,32,79495430.0,-0.14415194612520998,0.22965927877719827,18256863.11988325,47438809.0,11306446.0,4.195730895833147,995259.0,121565.0,8.186984847737032,18881029.0,3.052626975409261,654,23646018.0,0,6185173.0,0.6454503205066897,0.5,0,1791466.0,Male,East
BRW-00007,Company_7,Healthcare,3,17358938.0,0.2169638045794669,0.24287996693344208,4216138.287439671,12615169.0,5942661.0,2.1228144895334786,2887740.0,1393076.0,2.072922027999888,5136327.0,0.12342743964299444,794,7027755.0,1,41614141.0,0.7140720735970525,0.25,0,808118.0,Male,North
BRW-00008,Company_8,Agriculture,28,35465902.0,0.11834715557756444,0.27708807106138555,9827178.373632137,805510.0,1783276.0,0.4517021191884379,3352272.0,1957944.0,1.712137981403972,16431947.0,5.40664006770167,733,15187942.0,0,3039215.0,0.9345877465647596,0.6,0,2754985.0,Female,East
BRW-00009,Company_9,Pharmaceuticals,10,14874264.0,0.19937834444810687,0.10810830981491663,1608031.5407808612,2578508.0,15570824.0,0.1655986757284858,2920812.0,221611.0,13.17984585672256,1826355.0,0.20299532178952387,686,14054487.0,0,8997029.0,0.6111976703276862,0.2,0,1261791.0,Female,South
